"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","kyrgyzstan","Asia",TRUE,691090.4,12.082,2.91,2.34716817,5.72327645065068,3.37610828065068,2.09,"decreasing","decreasing","stayed constant","about.the.same",3.48980140839041,3.37610828065068,2014,12.9,17.7,11.6,96,98.25,95.6928405761719,2009,2014,91.72789,96.7000825
"Lao People’s Democratic Republic","Laos","Laos","laos","Asia",TRUE,2477992.33,38.1817,1.9,1.47507735,4.50992929263699,3.03485194263699,1.26,"increasing","","stayed constant","about.the.same",1.87732040753425,3.03485194263699,2011,44.2,60.6,37.4,66,79.75,,,2012,3.13661,39.6727
"Latvia","Latvia","Latvia","latvia","Europe",FALSE,35152.89,1.7489,9.93,6.405391185,23.0601727516952,16.6547815666952,4.66,"increasing","",,"",7.8292358194349,16.6547815666952,,,,,,,99.621208190918,2015,,,
"Lebanon","Lebanon","Lebanon","lebanon","Asia",TRUE,3227.65344,0.0611298,11.5,8.4142165,24.6727609434931,16.2585444434931,6.93,"increasing","",,"",15.7676744092466,16.2585444434931,,,,,,,54.2877388000488,2007,,,
"Lesotho","Lesotho","Lesotho","lesotho","Africa",TRUE,1428771.88,67.3949,0.66,0.39265512,3.36250060356164,2.96984548356164,0.27,"increasing","decreasing","increased","increasing",2.46742146318493,2.96984548356164,2014,33.4,45.6,30.2,34,47.25,20.8719692230225,2008,2014,7.71569,29.8442325
"Liberia","Liberia","Liberia","liberia","Africa",TRUE,2594489.04,60.4776,1.35,1.005332175,3.09873818912671,2.09340601412671,0.91,"increasing","decreasing","increased","increasing",1.58120289340753,2.09340601412671,2013,32.1,35.5,31,16,27.75,,,2013,3.39192,25.75001
"Lithuania","Lithuania","Lithuania","lithuania","Europe",FALSE,44284.56,1.4961,10.25,6.956864625,24.1208660355308,17.1640014105308,5.45,"increasing","",,"",8.0185365965753,17.1640014105308,,,,,,,93.7850036621094,2015,,,
"Luxembourg","Luxembourg","Luxembourg","luxembourg","Europe",FALSE,723.897,0.134055,36,26.989974,81.6789448561644,54.6889708561644,23,"increasing","",,"",45.6552376155822,54.6889708561644,,,,,,,100,2015,,,
"Madagascar","Madagascar","Madagascar","madagascar","Africa",TRUE,19802403.04,86.2474,0.63,0.43964298,1.80987144678082,1.37022846678082,0.35,"decreasing","","increased","increasing",1.64935674383562,1.37022846678082,,,,,72,87.75,,,2009,0.04864,13.789095
"Malawi","Malawi","Malawi","malawi","Africa",TRUE,13587160.78,81.9491,0.72,0.52792632,2.25547595424658,1.72754963424658,0.44,"decreasing","decreasing","increased","increasing",3.40641399160959,1.72754963424658,2015,37.4,45.7,34.8,65,68.25,,,2016,5.62446,24.46001
"Malaysia","Malaysia","Malaysia","malaysia","Asia",TRUE,113966.9658,0.383598,8.39,5.788911225,30.3262653444349,24.5373541194349,4.59,"increasing","increasing",,"",14.8458104811644,24.5373541194349,2016,20.7,,,,,68.2157211303711,2010,,,
